Letter,Abbreviation,Definition
S,SPL," Sender Policy Framework 
 Sound Pressure Level"
S,SPM," Statistical Packet Multiplexing
 supplier performance management"
S,SPML,Service Provisioning Markup Language 
S,SPOF,Single point of failure
S,SPOI,Signaling Point Of Interface
S,SPOT,Smart Personal Objects Technology
S,SPREAD,"Systems Programming, Research, Engineering And Development"
S,SPSS,Statistical Package for the Social Sciences
S,SPU,Synergistic Processor Unit 
S,SPX,Sequenced Packet Exchange
S,SQL,Structured Query Language
S,SQL PL,SQL procedural language
S,SQR,Security to Quality Defect Ratio
S,SR, Speech Recognition
S,SR-IOV,Single-root I/O virtualization standards
S,SRAM,static random access memory
S,SRAT,Static Resource Affinity Table
S,SRGS,Speech Recognition Grammar Specification
S,SRL,Singing Return Loss 
S,SRM,storage resource management
S,SRS,Shared Registry Server
S,SRT," Source Routing Transparent
 (formerly) Souris River Telecommunications"
S,SRV,Service records
S,SS7,Signaling System 7
S,SSA," Social Security Administration
 Survivable Systems Analysis"
S,SSAP,Source Service Access Point
S,SSB,sequential store buffer 
S,SSD,Solid-State Drive
S,SSE," Simple Sharing Extension
 Streaming Simd Extensions"
S,SSH,Secure Shell
S,SSI," Server-Side Includes
 Small Scale Integration "
S,SSID,Service Set identifier 
S,SSIM,Symantec Security Information Manager
S,SSL,Secure Sockets Layer
S,SSLE,sequential systems of linear equations
S,SSMP,Simple Screen Management Protocol
S,SSO," single sign-on
 System Security Officer "
S,SSSCE,Short Self-Contained Correct (or Compilable) Example
S,STA,Single Threaded Apartment
S,STEP,Standard for the exchange                                                   of product
S,STK, Satellite ToolKit
S,STM,Synchronous Transport Module
S,STOCK,"Strategic and Operational 
              Customer Knowledge"
S,STP," shielded twisted pair
 Soa Tools Platform
 Spanning Tree Protocol 
 Straight Through Processing
 Switching Transfer Points or Single Transfer Points"
S,STS,Security Token Service
S,STT,Secure Transaction Technology
S,STUN,Session Traversal Utilities for NAT
S,STX,Start Of Text 
S,SUA,Single User Account
S,SUS,Software Update Services
S,SUT,System Under Test
S,SVBR,Semantics of Business Vocabulary and Business Rules
S,SVC,Switched Virtual Circuit
S,SVD,Secondary Virtual Disk
S,SVG,Scalable Vector Graphics 
S,SVGA,Super Video Graphics Array
S,SVPCo,Small Value Payments Co.
S,SW,X
S,SWAP,Shared Wireless Access Protocol
S,SWAT,Samba Web Administration ToolSolutions with Advanced Technologies
S,SWIFT,Society for Worldwide Interbank Financial Telecommunication
S,SWIM,System Wide Information Management 
S,SWL,short wavelength
S,SWOP,Specifications for Web Offset Publications
S,SWT,Standard Widget Toolkit
S,SYSVOL,System Volume
S,SaaS,software as a service
S,Sat Nav,Satellite navigation
S,ScTP,screened twisted pair 
S,SiS,Silicon Integrated Systems
S,Sig Block,signature block
S,Simulcast,simultaneous broadcast
S,SoIP,Storage over IP
S,Sphairon ,"Sphere, luminary, global and Elektron, Technology (vision)"
S,Sync,Synchronisation 
S,Sysop,System Operator
S,syslog,system logging 
T,T1, 
T,T2, 
T,T2L,TRANSISTOR-TRANSISTOR LOGIC 
T,T3, 
T,T4, 
T,T5, 
T,TACACS,Terminal Access Controller Access Control System 
T,TAE,text analysis engine
T,TAO,Track at Once
T,TAPI,Telephony Application Programming Interface
T,TAXI,Transparent Asynchronous Transmitter/Receiver Interface
T,TB,TeraByte
T,TBR,Technology Business Research
T,TCA,Transaction Cost Analysis
T,TCAP,Transaction Capabilities Application Part
T,TCB,trusted computing base 
T,TCG,Trusted Computing Group
T,TCO,total  cost of ownership
T,TCP," Test Coordination Procedure
 Transmission Control Protocol"
T,TCQ,Tagged Command Queuing
T,TCS," Tata Consultancy Services
 Telecommunications Systems"
T,TCU,transmission control unit 
T,TD-SCDMA,Time division-synchronous code division multiple access
T,TDC A/S,Tele Denmark Communications
T,TDD,Tone Dialing for the Deaf
T,TDDM,target distributed data manager
T,TDES,X
T,TDK,Tokyo Denki Kagaku
T,TDL,time differential linking
T,TDM,time division multiplexing
T,TDR,Time Domain Reflectometry
T,TE,Traffic Engineering
T,TEC," Tivoli Enterprise Console
 Thermoelectric Cooler"
T,TED," Technology Entertainment and Design
 Tiered Electronic Distribution
 Torrent Episode Downloader
 Tunnel Endpoint Discovery"
T,TEHO,tail end hop off
T,TEI,Total Economic Impact
T,TEM,telephone expense management
T,TERM,technology-enabled relationship management
T,TESS,"Transaction Events 
          and Statistics Server"
T,TETRA,Terrestrial Trunked Radio
T,TFRC,TCP-Friendly Rate Control
T,TFS," Team Foundation Server
 Three Finger Salute"
T,TFT,Thin Film Transistor
T,TFTP,Trivial File Transfer Protocol
T,TGT,ticket-granting ticket
T,TI,Texas Instruments
T,TIES,time independent escape sequence
T,TIFF,Tag Image File Format
T,TIP,"Telepresence  
          Interoperability Protocol"
T,TISPAN,Telecoms & Internet Converged Services & Protocols for Advanced Networks
T,TKIP,Temporal Key Integrity Protocol
T,TLB,translation lookaside buffer
T,TLD,Top Level Domain
T,TLI,Transport Layer Interface
T,TLL,Task Library Language 
T,TLM,Transportation Lifecycle Management
T,TLP,Transactional Licensing Program
T,TLS,Transport Layer Security
T,TMHES,Trend Micro Hosted Email Security
T,TMP file, temporary file
T,TMRS,traffic measurement and recording systems
T,TMS,"Threat Management System 
transportation management system "
T,TNC,Trusted Network Connect 
T,TNEF,Transport Neutral Encapsulation Format
T,TNS,Transaction Network Services 
T,TOA,time of arrival
T,TOD," Tool on Demand
 time-of-day"
T,TOE,TCP/IP Offload Engine
T,TOSLink,Toshiba Link
T,TP-MIC,Twisted-Pair Media Interface Connector
T,TPF,Transaction Processing Facility
T,TPM," Transactions Per Minute
 Trusted Platform Module"
T,TPMs,transaction processing monitors
T,TPS," transactions per second
 Transaction Process System "
T,TPV,Third Party Vendor
T,TR,Terminal Ready
T,TRIP," Telephony Routing over Internet Protocol
 Token Ring Interface Processor"
T,TRM,Teradata Relationship Manager
T,TRS,"Tip, Ring, Sleeve (cable)"
T,TRUE,task-related user exit
T,TS,Terminal Server / Services
T,TS-CAL,Terminal ServicesâClient Access License
T,TSF,Text Services Framework
T,TSIG,Transaction Signature
T,TSM," Tivoli Storage Manager
 trusted service manager "
T,TSN,The Sierra Network 
T,TSO,Time Sharing Option
T,TSOP,Thin Small Outline Package
T,TSR,Terminate and Stay Resident
T,TSRM,Tivoli Service Request Manager
T,TSV,Tab Separated Value (file)
T,TTL,Transistor Transistor Logic 
T,TTP,trusted third party
T,TTS,Text-To-Speech
T,TTY,TeleTypewriter
T,TUCOWS,The Ultimate Collection of Winsock Software
T,TUP,Telephone User Part
T,TUR,trunk utilization report 
T,TVO,total value of opportunity
T,TVT,ThinkVantage Technology
T,TWA,transaction work area
T,TWAIN,technology without an interesting name
T,TWX,Teletypewriter Exchange Service
T,TX,Transmit / Transmission
T,TXT,Trusted eXecution Technology
T,TXT record, Text record
T,Tb,terabit 
T,Tbps,terabits per second
T,Telco,telephone company
T,Telnet,telephone network protocol
T,TiB,tebibyte 
T,ToS, Type Of Service
T,Transceiver ,Transmitter/Receiver
T,Triple DES,X
T,t-commerce,television commerce
T,tar,Tape ARchive
T,tcl,Tool Command Language 
T,telematics,telecommunications and informatics
T,telephony,Telephone technology
T,texel,Texture Element
T,tracert,traceroute
U,U2F,Undetectable and Untraceable Fraud
U,UA,Upgrade Advantage
U,UAC,User Account Control
U,UART,universal asynchronous receiver-transmitter
U,UAT,User Acceptance Test
U,UBE,unsolicited bulk email
U,UBR,Undefined Bit Rate
U,UC,Unified communications
U,UC&C (or UCC),Unified Communications & Collaboration
U,UC2,Unified Communications and Collaboration
U,UCB,unit control block
U,UCC,Uniform Code Council
U,UCCW,Ultimate custom widget
U,UCD," Unicode Character Database
 Uplink Channel Descriptor
 User-centered design"
U,UCE,Unsolicited Commercial Email
U,UCM," Unified Change Management
 Unified Computing System
 Universal Content Management
 Universal Customer Master
 Use Case Maps"
U,UCP,Ubuntu Certified Professional
U,UCS,Universal Character Set
U,UDDI,"Universal Description, Discovery and Integration"
U,UDF,Universal Disk Format
U,UDLP,UniDirectional Link Protocol
U,UDMA,Ultra DMA (Ultra Direct Memory Access)
U,UDO,Ultra Density Optical
U,UDP,User Datagram Protocol
U,UDRP,Uniform Dispute Resolution policy 
U,UFS, Unix File System
U,UGC, User generated content
U,UGS,Unsolicited Grant Service 
U,UHF,Ultra High Frequency
U,UHV,Ultra High Voltage
U,UI,user interface
U,UIA,Unified Information Access
U,UL,Underwriters Laboratories Inc.
U,ULH,ultra-long-haul 
U,ULV,Ultra Low Voltage
U,UM,Unified messaging
U,UMA," Unified-Memory Architecture
 Unlicensed Mobile Access
 Upper Memory Area
 User Mode Audio"
U,UMB," Ultra Mobile Broadband
 upper memory block "
U,UMC,ultra modular computing 
U,UMID, Unique Material IDentifier
U,UML,Unified Modeling Language
U,UMS,Unfied Messaging Systems 
U,UMTS,Universal Mobile Telecommunication System
U,UNC,Uniform / Universal Naming Convention
U,UNI,User-to-Network Interface
U,UNR,Ubuntu Netbook Remix
U,UOL,Universo Online
U,UOW,unit of work
U,UPA,user printable area
U,UPC,Universal Product Code
U,UPS,Uninterruptible Power Supply
U,UPT,Universal Personal Telecommunications 
U,UPnP,Universal Plug and Play
U,URC,Utility Ready Computing
U,URI,Uniform Resource Identifier
U,URL,Uniform Resource Locator
U,URN,Uniform Resource Name
U,URT," universal receiver transmitter
 User Registration Tool"
U,USB," Universal Serial Bus
 Upper Side Band"
U,USENET,USEr's NETwork
U,USF,Universal Service Fund
U,USG,UNIX Systems Group
U,USHER,United States Higher Education Root Certificate Authority
U,USL,UNIX System Laboratories
U,USM," Unifed Service Model
 Unsharp masking"
U,USMT,User State Migration Tool
U,USO,universal service obligation
U,USP," Universal Storage Platform
 usage sensitive pricing"
U,USRT,Universal Synchronous Receiver Transmitter
U,USS,unformatted system service
U,UT,Upper Tester
U,UTF-8,Unicode Transformation Format 8
U,UTM," Unified Threat Management
 Universal Transverse Mercator"
U,UTP, unshielded twisted pair 
U,UTSL,Use The Source Luke
U,UUCP,Unix to Unix Copy
U,UUEE,Unix-to-Unix Encode 
U,UUENCODE,Unix to Unix Encoding
U,UUG,Unix User Group
U,UUID,Universally Unique Identifier
U,UUNET,UNIX to UNIX Network
U,UUT,Unit Under Test
U,UV,UltraViolet light
U,UWB,Ultra-Wide-Band 
U,UWIN, Unix for WINdows
U,UXP,user experience
U,Unicode,UNIversal CODE
U,uDAPL,User Direct Access Programming Library
U,uRPF,Unicast Reverse Path Forwarding
U,uauth,user authentication
U,usr,Unix System Resources
V,V H,Vertical and horizontal grid points
V,V.35, 
V,V2P,Virtual to physical
V,VA,virtual assistant
V,VAD," Value-Added Distributor
 Voice Activity Detection"
V,VADP, vStorage APIs for Data Protection
V,VAIO, Video Audio Integrated Operation
V,VAN,Value-Added Network
V,VAR,value-added reseller
V,VAROS,VAriable Refraction Optical System
V,VATH,"Visual, Auditory, Tactile, Haptic"
V,VAX,Virtual Address Extension
V,VB,Visual Basic
V,VBA,"Virtual backup appliance Visual Basic  for Applications
"
V,VBR," variable bit rate
 Very Busy Run"
V,VBUG,Voice Browser Usability Group
V,VBX,Visual Basic Custom Control
V,VC," Videoconference
 Virtual Channel
 virtual circuit "
V,VCB,VMware Consolidated Backup
V,VCC,Voice Call Continuity
V,VCD,Video Compact Disc
V,VCDX,VMware Certified Design Expert 
V,VCI,Virtual Channel Identifier
V,VCM,Virtual Channel Memory
V,VCO,voltage-controlled oscillator
V,VCP," Value Chain Planning
 VMware Certified Professional"
V,VCR,video cassette recorder
V,VD,Virtual Disk
V,VDD,X
V,VDI,Virtual desktop infrastructure
V,VDR,virtual deal room
V,VDS," Variable Drop Size
 visual data stream "
V,VDSL,very high-speed digital subscriber line
V,VDT,Video Display Terminal
V,VDU,Visual Display Unit
V,VEP,vertical enterprise portal
V,VESA,Video Electronics Standards Association
V,VF,Voice Frequency
V,VFM,virtual file manager
V,VGA,Video Graphics Array
V,VGF,voice grade facility 
V,VHD,Virtual Hard Drive
V,VHDL,VLSI Hardware Description Language
V,VHDTS,Very High Density Thumb Screw
V,VHF,very high frequency
V,VHLL,Very-High-Level Language
V,VHM,Voice Health Monitor
V,VHS,video home system
V,VIC,Voice Interface Card
V,VIM,Vendor Independent Messaging
V,VIO,virtual input/output
V,VIP,VeriSign Identity Protection
V,VITAL,"VHDL Initiative for the Standardization of ASIC 
          Libraries"
V,VIVO,Video In Vide o Out
V,VLA,Volume License Agreement
V,VLAN,virtual local-area network
V,VLC,VideoLan Client
V,VLDB,very large database 
V,VLE,Virtual Learning Environment 
V,VLF," Very Low Frequency
 Virtual Log File"
V,VLIW,Very Long Instruction Word
V,VLK,Volume License Key
V,VLL,Virtual Leased Line 
V,VLR,Visitor Location Register
V,VLS,Virtual Library Systems
V,VLSI,Very Large Scale of Integration
V,VLSM,Variable Length Subnet Masking
V,VM,virtual machine
V,VMDQ,Virtual Machine Device Queues 
V,VMEbus,VersaModule Eurocard bus
V,VMI,vendor-managed inventory 
V,VML,Vector Markup Language
V,VMM,virtual machine monitor
V,VMS," Virtual Memory System
 Vocabulary Management Solution
 Voice Message Service"
V,VNC,Virtual Network Computing
V,VNL,via net loss
V,VNO,virtual network                     operator
V,VOM,Volt-Ohm-Milliammeter
V,VOP,Velocity of Propagation
V,VOX,Voice Operated eXchange
V,VPA," valid printable area
 Volume Procurement Amendment "
V,VPD,Vital Product Data
V,VPDN,Virtual Private Dial-up Network
V,VPI,Virtual Path Indentifier
V,VPLS,virtual private LAN service
V,VPN,Virtual Private Network
V,VPS," Vectors Per Second
 Virtual private server"
V,VQF, Vector Quantization Format
V,VR,Virtual reality
V,VRC,Vertical Redundancy Check
V,VRF,VPN routing/forwarding instance
V,VRM,voltage regulator module
V,VRML, Virtual Reality Modeling Language
V,VRRP,Virtual Router Redundancy Protocol
V,VRS,Virtual Reference Station
V,VRT,Variable-Rate Technology
V,VRU,voice response unit 
V,VSAM," Virtual Sequential Access Method
  Virtual Storage Access Method"
V,VSAT,very small aperture terminal
V,VSB," very severe burst 
 Vestigial sideband"
V,VSD,ViSio Diagram
V,VSE,Virtual Storage Extended
V,VSELP,Vector Sum Excited Linear Predictive
V,VSIP,Visual Studio Industry Partners
V,VSM,"Value 
          Stream Mapping"
V,VSN,volume serial number
V,VSNL,Videsh Sanchar Nigam Limited
V,VSP,VoIP Service Provider
V,VSR,Vertical Scan Rate
V,VSS," vector symbol set 
 Volume Shadow Copy"
V,VSWR,Voltage Standing Wave Ratio
V,VSwitch,Virtual Switch
V,VTAM," Virtual Table Access Method
 Virtual Telecommunications Access Method"
V,VTL,virtual tape library
V,VTOC,Volume Table of Contents
V,VTP,Vlan Trunking Protocol
V,VTS,virtual tape subsystem
V,VTY,Virtual teleTYpewriter
V,VUE,Visual User Environment
V,VVM,Veritas Volume Manager
V,VVR,Veritas Volume Replicator
V,VWE,virtual work environment 
V,VWIC,Voice/Wan Interface Card
V,VWS,Virtual Web Server
V,Vdeck,Video Deck
V,Veronica,Very Easy Rodent Oriented Net-wide Index to Computerized Archives
V,Vines,VIrtual NEtwork System
V,VoD,Video On Demand
V,VoIP,voice over Internet Protocol
V,Vodcast,"video 
          podcasting"
V,Voken,virtual token
V,VoxML,Voice Markup Language
V,VxD,X
V,v-mail,Video mail
V,vBNS, very high-speed Backbone Network Service
V,vortal,Vertical portal
V,voxel,"Volume pixel, or volume picture element"
W,W3C,World Wide Web Consortium
W,WAA,Wide Area Adapter
W,WAAS,Wide Area Augmentation System
W,WAB,Windows Address Book
W,WAC,"Wholesale 
          Applications Community"
W,WACK,X
W,WADS,write-ahead data set 
W,WAE,Wireless Application Environment
W,WAF,Web application firewall
W,WAI-ARIA,Web Accessibility Initiative - Accessible Rich Internet Applications
W,WAIS,Wide Area Information Servers
W,WAK,X
W,WAL,wats access line 
W,WALE,wats access line extension
W,WAMP,"Windows, Apache, Mysql, PHP (or Perl or Phyton)"
W,WAN,Wide-area Network
W,WAP,Wireless Application Protocol
W,WARIA,Workflow And Reengineering International Association
W,WAS,Web Application Server
W,WATS,Wide Area Telecommunications/Telephone Service
W,WAVE,"Wide Area Virtualization 
          Engine"
W,WBEM,Web-Based Enterprise Management
W,WBMP,Wireless BitMaP
W,WCF, Windows Communication Foundation 
W,WCS," Web customer 
          service 
 Websphere Commerce Server"
W,WD,Western Digital
W,WDDM,Windows Display Driver Model
W,WDDX,Web Distributed Data Exchange 
W,WDF,Windows Driver Foundation
W,WDM,Wavelength Division Multiplexing
W,WDOG,Watchdog protocol
W,WDS,Wireless Distribution System 
W,WDT,watchdog timer
W,WEEE,Waste Electrical and Electronic Equipment
W,WEP,Wired Equivalent Privacy
W,WES,Websense Email Security
W,WFM,Wired For Management Baseline
W,WFO,workforce optimization
W,WFQ,weighted fair queuing
W,WGA,Windows Genuine Advantage 
W,WHISPER,Windows Highly Intelligent SPEech Recognition
W,WHQL,Windows Hardware Quality Lab
W,WIA,Windows Image Acquisition
W,WIC,Wan Interface Card
W,WIMPS,"windows, icons, menus, pointers, scroll bars"
W,WINE,Wine Is Not an Emulator
W,WINS,Windows Internet Name Service
W,WIPO,World Intellectual Properties Organization
W,WLAN,wireless LAN
W,WLL,wireless local loop
W,WMI,Windows Management Instrumentation
W,WML,Wireless Markup Language
W,WMOS,Warehouse Management for Open Systems
W,WMP,Windows Media Player
W,WMS,warehouse management system
W,WOA,Web-oriented architecture
W,WOL,Wake On LAN
W,WORM,"write once, read many"
W,WOS,Wireless Office Systems 
W,WOSA,Windows Open Service Architecture
W,WOW,"World of Warcraft
World Organization of Webmasters "
W,WOW!,(formerly) WideOpenWest
W,WPA,Wi-Fi Protected Access
W,WPAD,Web Proxy AutoDiscovery
W,WPAR,Workload PARtition
W,WPF,Windows Presentation Foundation
W,WPLO,Warranty Parts/Labor/Onsite
W,WPN, Worldwide Port Name
W,WQUXGA,Wide Quad Ultra eXtended Graphics Array
W,WRC,World Radiocommunication Conference
W,WRED,Weighted Random Early Detection
W,WRS,Wind River Systems
W,WRT,Weighted Risk Trend
W,WS-Secuirty, Web Services Security
W,WSC,Windows Security Center 
W,WSD,white space device
W,WSE,Web Services Enhancements
W,WSFC,Windows Server Failover Clustering
W,WSJ,Wall Street Journal
W,WSP," Web Standards Project
 Wireless Session Protocol"
W,WSS,Windows Sharepoint Services
W,WTG,Wily Transaction Generator
W,WTL,Windows Template Library
W,WTLS,Wireless Transport Layer Security
W,WTX,Workstation Technology eXtended
W,WUS,Windows Update Services
W,WVA,Wide Viewing Angle
W,WWAN,wireless wide-area network
W,WWN,World wide name
W,WWNN,worldwide node name 
W,WWPN,worldwide port name
W,WWW,World Wide Web
W,WYSIWYG ,what you see is what you get
W,WZC,Wireless Zero Configuration
W,WebCam,WEB CAMera
W,WebDAV,Web-based Distributed Authoring and Versioning
W,WfMC,WorkFlow Management Coalition
W,Wi-Fi,Wireless Fidelity
W,WiBro,Wireless Broadband
W,WiMax,World Interoperability for Microwave Access
W,WinFS,Windows Future Storage
W,Winkey,Windows key
W,Winsock,Windows sockets
W,Wintel (slang),Windows and Intel 
W,webinar,(web seminar)
W,wiki,What I Know Is
W,wpm,Words Per Minute
X,X3D,Extensible 3D Graphics
X,XACML,Extensible Access Control Markup Language
X,XAF,eXpressApplication Framework
X,XAMPP,Cross-platform/Apache/MySQL/PHP/Perl 
X,XBL,XML Binding Language 
X,XBMC,XBox Media Center
X,XBRL,Extensible Business Reporting Language
X,XCP,eXtended Copy Protection
X,XDCC,Xabi DCC or eXtended DCC
X,XDE,eXtended Development Experience
X,XDM,X Display Manager
X,XDO,extended data object
X,XDR,eXternal Data Representation
X,XE,Express Edition
X,XFDL,Extensible Forms Description Language
X,XFN,XHTML Friends Network
X,XGA,Extended Graphics Array
X,XHR,XmlHttpRequest
X,XHTML,Extensible Hypertext Markup Language
X,XID," exchange identification
  exchange station ID"
X,XIL,X Imaging Library
X,XLF,Extensible Log Format
X,XLL,Extensible Linking Language
X,XLS,eXceL Spreadsheet
X,XMCL,Extensible Media Commerce Language
X,XMI,XML Metadata Interchange
X,XML,Extensible Markup Language
X,XMLC,eXtensible Markup Language Compiler
X,XMLRPC,XML Remote Procedure Call
X,XMP,eXtensible Metadata Platform
X,XMPP,eXtensible Messaging and Presence Protocol 
X,XMS," Extended Memory Specification 
 Xirrus Management System"
X,XNI,Xerces Native Interface
X,XNRL,"Xml Namespace Related-resource 
          Language"
X,XNS,Xerox Network Systems 
X,XO,crystal oscillator
X,XOFF,Transmitter off
X,XON,Transmitter on
X,XOP,Xml-binary Optimized Packaging
X,XOR,exclusive-OR gate
X,XP," eXPerience
 Extreme Programming"
X,XPFE,Cross Platform Front End
X,XPL,Carrier Private Line
X,XPLINK,Extra Performance Linkage
X,XPS,Xml Paper Specification
X,XPath,XML Path Language
X,XQL,XML Query Language
X,XRC,extended remote copy 
X,XRE,Xul Runtime Engine
X,XRST,extended restart
X,XSD,Xml Schema Definition
X,XSL,extensible Stylesheet Language 
X,XSLT,eXtensible Style Language Transformation
X,XSS,Cross-Site Scripting
X,XT," crosstalk
 Extended Technology"
X,XTI,UNIX Transport Layer Interface
X,XTM,Extensible Threat Management
X,XTP,Extreme transaction processing 
X,XTPP,"extreme transaction 
          processing platform"
X,XTR," Efficient Compact Subgroup Trace Representation
 Extreme Reality
Â "
X,XUL,eXtensible User-interface Language
X,XVT,Extensible Virtual Toolkit
X,XWB,eXtend WorkBench
X,XWSS,Xml and WebServices Security
X,XaaS, anything as a service
X,XoIP,Anything Over IP
X,XrML,Extensible Rights Markup Language
X,x86,8086 processor
X,xDSL,x digital subscriber line
X,xPGK,xPEERience gatekeeper/proxy
X,xVM,intersection (x) of virtualization and management
X,xfr,transfer
X,xmt,transmit
Y,Y2K,Year 2000
Y,YA-,Yet Another 
Y,YAHU,Yet Another Header Utility
Y,YAST,Yet Another Setup Tool
Y,YB,Yottabyte
Y,YES,Yahoo! Enterprise Solutions
Y,YIM,Yahoo! Instant Messenger
Y,YKYBHTLW,you know you've been hacking too long when
Y,YMMV,our mileage may vary
Y,YP,Yellow Pages
Y,YPN,Yahoo Publishers Network
Y,YUB, luminance (Y)  chroma (UV)
Y,YYYY-MM-DD,Year Year Year Year - Month Month - Day Day
Y,YiB,Yobibyte
Y,yacc,yet another compiler compiler
Z,ZAPP,Zero Assignment Parallel Processor
Z,ZAW,Zero Administration Window
Z,ZB,Zettabyte
Z,ZBR,Zero Bug Release
Z,ZBTSI, Zero Byte Time Slot Interchange
Z,ZCAV,X
Z,ZCS,zero code suppression 
Z,ZCT,zero count table
Z,ZDBop, Ziff-Davis Benchmark Operation
Z,ZDL,Zero Delay Lockout
Z,ZDN,X
Z,ZDNet,X
Z,ZDO,ZigBee Device Object
Z,ZFS," Zettabyte File System
 zSeries File System"
Z,ZID,ZfhB Igjk Dgvkh
Z,ZIF,Zero Insertion Force
Z,ZIL,Zork Implementation Language
Z,ZINK,Zero INK
Z,ZIP,Zone Information Protocol
Z,ZLE,zero-latency enterprise
Z,ZMA,Zone Multicast Address
Z,ZNA,Zero Network Administration
Z,ZOPE,Z Object Publishing Environment
Z,ZRTP,(Zimmerman ) Real-Time Transport Protocol 
Z,ZTE,Zhong Xing Telecommunication Equipment
Z,ZTLP,Zero Transmission Level Point
Z,ZV port,X
Z,ZVP,X
Z,Zeroconf,zero configuration (IP networking)
Z,zine, electronic magazine
Z,zsh,Z shell
